ID,Local_X,Local_Y,Real_X,Real_Y,Red,Green,Blue,File
9,940,376,72.1872001163741,32.824250742135575,0,0,255,0-2_0131map_1_0.tif
10,1113,329,74.45109098218973,33.43929623747276,0,0,255,0-2_0131map_1_0.tif
11,940,220,72.1872001163741,34.86567834368029,0,0,255,0-2_0131map_1_0.tif
12,1120,152,74.54269350277185,35.755531400763886,0,0,255,0-2_0131map_1_0.tif
13,913,123,71.83387610841444,36.1350275574613,0,0,255,0-2_0131map_1_0.tif
14,956,113,72.39657730627613,36.26588830115006,0,0,255,0-2_0131map_1_0.tif
0,1094,470,74.20245556918107,31.59415975146119,0,0,255,0-2_0132map_1_0.tif
1,1095,378,74.21554164354995,32.79807859339782,0,0,255,0-2_0132map_1_0.tif
2,1016,284,73.18174176840871,34.0281695840722,0,0,255,0-2_0132map_1_0.tif
0,1091,473,74.16319734607444,31.554901528354563,0,0,255,0-2_0132map_1_1.tif
1,1108,320,74.38566061034534,33.55707090679265,0,0,255,0-2_0132map_1_1.tif
2,1015,293,73.16865569403984,33.91039491475232,0,0,255,0-2_0132map_1_1.tif
3,1058,286,73.73135689190153,34.001997435334445,0,0,255,0-2_0132map_1_1.tif
0,518,581,66.66487673270827,30.14160549651591,0,0,255,0-2_0135map_1_0.tif
1,603,525,67.77719305406276,30.87442566117299,0,0,255,0-2_0135map_1_0.tif
2,539,503,66.93968429445468,31.16231929728827,0,0,255,0-2_0135map_1_0.tif
0,550,952,67.08363111251231,25.286671905662768,0,0,255,0-2_0135map_1_1.tif
1,1048,327,73.60049614821276,33.46546838621052,0,0,255,0-2_0135map_1_1.tif
2,1003,297,73.01162280161333,33.85805061727681,255,0,0,0-2_0135map_1_1.tif
3,918,129,71.89930648025883,36.05651111124804,0,0,255,0-2_0135map_1_1.tif
0,941,379,72.20028619074299,32.78499251902895,0,0,255,0-2_0135map_1_2.tif
1,1057,316,73.71827081753264,33.60941520426815,0,0,255,0-2_0135map_1_2.tif
2,954,203,72.37040515753839,35.08814160795119,0,0,255,0-2_0135map_1_2.tif
3,922,142,71.95165077773433,35.88639214445265,0,0,255,0-2_0135map_1_2.tif
0,1027,294,73.32568858646636,33.89730884038344,0,0,255,0-2_0137map_1_0.tif
1,1068,283,73.86221763559028,34.041255658441074,0,0,255,0-2_0137map_1_0.tif
0,1113,306,74.45109098218973,33.74027594795692,0,0,255,0-2_0137map_1_1.tif
1,963,297,72.48817982685827,33.85805061727681,0,0,255,0-2_0137map_1_1.tif
2,1030,254,73.36494680957298,34.420751815138495,0,0,255,0-2_0137map_1_1.tif
3,918,117,71.89930648025883,36.213544003674556,0,0,255,0-2_0137map_1_1.tif
4,949,112,72.304974785694,36.27897437551894,0,0,255,0-2_0137map_1_1.tif
0,700,1021,69.04654226784378,24.383732774210294,0,0,255,0-2_0138map_1_0.tif
1,547,971,67.04437288940568,25.038036492654115,0,0,255,0-2_0138map_1_0.tif
2,651,936,68.40532462376883,25.496049095564793,0,0,255,0-2_0138map_1_0.tif
3,982,335,72.73681523986691,33.3607797912595,0,0,255,0-2_0138map_1_0.tif
4,1010,278,73.10322532219546,34.10668603028546,0,0,255,0-2_0138map_1_0.tif
5,883,263,71.44129387734816,34.3029771458186,0,0,255,0-2_0138map_1_0.tif
6,1179,175,75.31477189053557,35.45455169027973,0,0,255,0-2_0138map_1_0.tif
0,703,1020,69.0858004909504,24.396818848579173,0,0,255,0-2_0140map_1_0.tif
1,544,958,67.00511466629905,25.208155459449507,0,0,255,0-2_0140map_1_0.tif
2,417,831,65.34318322145175,26.870086904296812,0,0,255,0-2_0140map_1_0.tif
3,1019,235,73.22099999151534,34.669387228147144,0,0,255,0-2_0140map_1_0.tif
0,1011,284,73.11631139656433,34.0281695840722,0,0,255,0-2_0140map_1_1.tif
1,1018,248,73.20791391714647,34.49926826135175,0,0,255,0-2_0140map_1_1.tif
0,985,314,72.77607346297354,33.63558735300591,0,0,255,0-2_0141map_1_0.tif
1,1056,281,73.70518474316377,34.06742780717883,0,0,255,0-2_0141map_1_0.tif
2,1022,244,73.26025821462197,34.55161255882726,0,0,255,0-2_0141map_1_0.tif
3,923,190,71.96473685210321,35.25826057474658,0,0,255,0-2_0141map_1_0.tif
4,937,121,72.14794189326747,36.161199706199056,0,0,255,0-2_0141map_1_0.tif
0,1028,233,73.33877466083523,34.695559376884894,0,0,255,0-2_0141map_1_1.tif
1,920,192,71.92547862899659,35.23208842600883,0,0,255,0-2_0141map_1_1.tif
2,916,165,71.87313433152107,35.58541243396849,0,0,255,0-2_0141map_1_1.tif
3,918,120,71.89930648025883,36.17428578056793,0,0,255,0-2_0141map_1_1.tif
4,950,116,72.31806086006287,36.226630078043435,0,0,255,0-2_0141map_1_1.tif
0,818,292,70.59069904337119,33.92348098912119,0,0,255,0-2_0143map_1_0.tif
1,958,212,72.42274945501389,34.9703669386313,0,0,255,0-2_0143map_1_0.tif
2,1038,207,73.469635404524,35.03579731047569,0,0,255,0-2_0143map_1_0.tif
3,913,183,71.83387610841444,35.349863095328715,0,0,255,0-2_0143map_1_0.tif
4,966,181,72.5274380499649,35.37603524406647,0,0,255,0-2_0143map_1_0.tif
0,538,971,66.9265982200858,25.038036492654115,0,0,255,0-2_0148map_1_0.tif
1,517,579,66.6517906583394,30.167777645253665,0,0,255,0-2_0148map_1_0.tif
2,564,544,67.26683615367658,30.625790248164336,0,0,255,0-2_0148map_1_0.tif
3,990,295,72.84150383481793,33.88422276601456,0,0,255,0-2_0148map_1_0.tif
4,884,260,71.45437995171703,34.34223536892523,0,0,255,0-2_0148map_1_0.tif
5,1027,245,73.32568858646636,34.53852648445838,0,0,255,0-2_0148map_1_0.tif
6,956,215,72.39657730627613,34.93110871552467,0,0,255,0-2_0148map_1_0.tif
7,1058,192,73.73135689190153,35.23208842600883,0,0,255,0-2_0148map_1_0.tif
8,1112,186,74.43800490782085,35.310604872222086,0,0,255,0-2_0148map_1_0.tif
9,974,186,72.6321266449159,35.310604872222086,0,0,255,0-2_0148map_1_0.tif
10,1009,165,73.09013924782658,35.58541243396849,0,0,255,0-2_0148map_1_0.tif
11,1232,150,76.00833383208601,35.781703549501636,0,0,255,0-2_0148map_1_0.tif
12,921,129,71.93856470336546,36.05651111124804,0,0,255,0-2_0148map_1_0.tif
13,1201,122,75.60266552665085,36.14811363183018,0,0,255,0-2_0148map_1_0.tif
14,972,111,72.60595449617816,36.29206044988782,0,0,255,0-2_0148map_1_0.tif
15,944,83,72.23954441384961,36.658470532216356,0,0,255,0-2_0148map_1_0.tif
16,1134,82,74.72589854393613,36.671556606585234,255,0,0,0-2_0148map_1_0.tif
17,1179,60,75.31477189053557,36.95945024270051,0,0,255,0-2_0148map_1_0.tif
0,542,964,66.97894251756131,25.12963901323625,0,0,255,0-2_0154map_1_0.tif
1,896,631,71.61141284414354,29.48730177807209,0,0,255,0-2_0154map_1_0.tif
2,527,589,66.78265140202815,30.0369169015649,0,0,255,0-2_0154map_1_0.tif
3,876,557,71.34969135676602,30.455671281368943,0,0,255,0-2_0154map_1_0.tif
4,918,551,71.89930648025883,30.534187727582204,0,0,255,0-2_0154map_1_0.tif
5,1093,470,74.1893694948122,31.59415975146119,0,0,255,0-2_0154map_1_0.tif
6,1061,413,73.77061511500816,32.34006599048715,0,0,255,0-2_0154map_1_0.tif
7,852,265,71.03562557191299,34.27680499708085,0,0,255,0-2_0154map_1_0.tif
8,883,245,71.44129387734816,34.53852648445838,0,0,255,0-2_0154map_1_0.tif
9,965,197,72.51435197559601,35.166658054164444,0,0,255,0-2_0154map_1_0.tif
10,1108,192,74.38566061034534,35.23208842600883,0,0,255,0-2_0154map_1_0.tif
11,1178,176,75.3016858161667,35.44146561591085,0,0,255,0-2_0154map_1_0.tif
12,966,161,72.5274380499649,35.637756731444,0,0,255,0-2_0154map_1_0.tif
13,1045,159,73.56123792510613,35.66392888018175,0,0,255,0-2_0154map_1_0.tif
14,911,135,71.8077039596767,35.977994665034785,0,0,255,0-2_0154map_1_0.tif
15,1075,127,73.95382015617243,36.08268325998579,0,0,255,0-2_0154map_1_0.tif
16,967,120,72.54052412433377,36.17428578056793,0,0,255,0-2_0154map_1_0.tif
17,1021,112,73.2471721402531,36.27897437551894,0,0,255,0-2_0154map_1_0.tif
0,697,1021,69.00728404473715,24.383732774210294,0,0,255,0-2_0156map_1_0.tif
1,537,954,66.91351214571692,25.260499756925014,0,0,255,0-2_0156map_1_0.tif
2,1096,471,74.22862771791883,31.581073677092313,0,0,255,0-2_0156map_1_0.tif
3,940,377,72.1872001163741,32.8111646677667,0,0,255,0-2_0156map_1_0.tif
4,991,286,72.8545899091868,34.001997435334445,0,0,255,0-2_0156map_1_0.tif
0,547,955,67.04437288940568,25.24741368255614,0,0,255,0-2_0158map_1_1.tif
1,655,932,68.45766892124433,25.548393393040296,0,0,255,0-2_0158map_1_1.tif
2,666,763,68.60161573930198,27.759939961380407,0,0,255,0-2_0158map_1_1.tif
3,670,723,68.65396003677748,28.28338293613546,0,0,255,0-2_0158map_1_1.tif
4,590,597,67.60707408726736,29.932228306613887,0,0,255,0-2_0158map_1_1.tif
5,933,549,72.09559759579197,30.560359876319957,0,0,255,0-2_0158map_1_1.tif
6,844,428,70.93093697696197,32.143774874954,0,0,255,0-2_0158map_1_1.tif
7,1000,285,72.9723645785067,34.015083509703324,0,0,255,0-2_0158map_1_1.tif
8,884,268,71.45437995171703,34.23754677397422,0,0,255,0-2_0158map_1_1.tif
9,987,215,72.8022456117113,34.93110871552467,0,0,255,0-2_0158map_1_1.tif
0,540,964,66.95277036882355,25.12963901323625,0,0,255,0-2_0165map_1_0.tif
1,893,637,71.57215462103692,29.408785331858834,0,0,255,0-2_0165map_1_0.tif
2,1090,469,74.15011127170557,31.607245825830066,0,0,255,0-2_0165map_1_0.tif
3,948,384,72.29188871132511,32.71956214718456,0,0,255,0-2_0165map_1_0.tif
4,1000,296,72.9723645785067,33.87113669164568,0,0,255,0-2_0165map_1_0.tif
5,917,116,71.88622040588996,36.226630078043435,0,0,255,0-2_0165map_1_0.tif
0,538,958,66.9265982200858,25.208155459449507,0,0,255,0-2_0165map_1_1.tif
1,648,936,68.3660664006622,25.496049095564793,0,0,255,0-2_0165map_1_1.tif
2,881,569,71.4151217286104,30.29863838894243,0,0,255,0-2_0165map_1_1.tif
3,531,566,66.83499569950366,30.337896612049057,0,0,255,0-2_0165map_1_1.tif
4,599,536,67.72484875658726,30.73047884311535,0,0,255,0-2_0165map_1_1.tif
5,1054,286,73.67901259442601,34.001997435334445,0,0,255,0-2_0165map_1_1.tif
6,1008,279,73.0770531734577,34.09359995591658,0,0,255,0-2_0165map_1_1.tif
7,883,270,71.44129387734816,34.21137462523647,0,0,255,0-2_0165map_1_1.tif
8,913,217,71.83387610841444,34.90493656678692,0,0,255,0-2_0165map_1_1.tif
0,702,1018,69.07271441658153,24.422990997316926,0,0,255,0-2_0167map_1_0.tif
1,543,963,66.99202859193018,25.14272508760513,0,0,255,0-2_0167map_1_0.tif
2,1028,362,73.33877466083523,33.00745578329984,0,0,255,0-2_0167map_1_0.tif
3,989,302,72.82841776044906,33.792620245432424,0,0,255,0-2_0167map_1_0.tif
4,873,263,71.31043313365939,34.3029771458186,0,0,255,0-2_0167map_1_0.tif
5,1034,218,73.41729110704848,34.891850492418044,0,0,255,0-2_0167map_1_0.tif
6,987,217,72.8022456117113,34.90493656678692,0,0,255,0-2_0167map_1_0.tif
7,1129,183,74.66046817209175,35.349863095328715,0,0,255,0-2_0167map_1_0.tif
0,1094,475,74.20245556918107,31.52872937961681,0,0,255,0-2_0167map_1_1.tif
1,979,281,72.69755701676029,34.06742780717883,0,0,255,0-2_0167map_1_1.tif
2,1014,270,73.15556961967096,34.21137462523647,0,0,255,0-2_0167map_1_1.tif
0,530,966,66.8219096251348,25.1034668644985,0,0,255,0-2_0167map_1_2.tif
1,524,574,66.74339317892152,30.233208017098047,0,0,255,0-2_0167map_1_2.tif
2,1086,473,74.09776697423007,31.554901528354563,0,0,255,0-2_0167map_1_2.tif
3,1019,305,73.22099999151534,33.753362022325796,0,0,255,0-2_0167map_1_2.tif
4,1020,262,73.23408606588421,34.31606322018748,0,0,255,0-2_0167map_1_2.tif
0,700,1012,69.04654226784378,24.501507443530187,0,0,255,0-2_0168map_1_0.tif
1,532,968,66.84808177387254,25.077294715760743,0,0,255,0-2_0168map_1_0.tif
2,1083,478,74.05850875112344,31.48947115651018,0,0,255,0-2_0168map_1_0.tif
3,940,380,72.1872001163741,32.77190644466007,0,0,255,0-2_0168map_1_0.tif
4,1000,278,72.9723645785067,34.10668603028546,0,0,255,0-2_0168map_1_0.tif
5,1011,217,73.11631139656433,34.90493656678692,0,0,255,0-2_0168map_1_0.tif
0,1025,282,73.2995164377286,34.05434173280995,0,0,255,0-2_0169map_1_0.tif
1,912,190,71.82079003404557,35.25826057474658,0,0,255,0-2_0169map_1_0.tif
2,1007,187,73.06396709908883,35.297518797853215,0,0,255,0-2_0169map_1_0.tif
3,1112,185,74.43800490782085,35.323690946590965,0,0,255,0-2_0169map_1_0.tif
4,1220,144,75.8513009396595,35.8602199957149,0,0,255,0-2_0169map_1_0.tif
5,915,130,71.8600482571522,36.043425036879164,0,0,255,0-2_0169map_1_0.tif
6,1095,115,74.21554164354995,36.23971615241231,0,0,255,0-2_0169map_1_0.tif
7,960,114,72.44892160375164,36.252802226781185,0,0,255,0-2_0169map_1_0.tif
8,1021,85,73.2471721402531,36.632298383478606,0,0,255,0-2_0169map_1_0.tif
9,1131,79,74.6866403208295,36.71081482969186,0,0,255,0-2_0169map_1_0.tif
0,1090,555,74.15011127170557,30.481843430106697,0,0,255,0-2_0171map_1_0.tif
1,835,223,70.81316230764209,34.82642012057366,0,0,255,0-2_0171map_1_0.tif
0,781,351,70.10651429172276,33.15140260135748,0,0,255,0-2_0171map_1_1.tif
1,960,300,72.44892160375164,33.81879239417018,0,0,255,0-2_0171map_1_1.tif
2,1030,233,73.36494680957298,34.695559376884894,0,0,255,0-2_0171map_1_1.tif
3,1181,176,75.34094403927332,35.44146561591085,0,0,255,0-2_0171map_1_1.tif
4,919,176,71.9123925546277,35.44146561591085,0,0,255,0-2_0171map_1_1.tif
5,1183,149,75.36711618801107,35.794789623870514,0,0,255,0-2_0171map_1_1.tif
