"species";"legend_key";"legend_index";"search_specie";"file_name";"map_name"
"Delias belladonna horsfieldii G. R. Gray 1831 SSS Fabr. Thyca horsfieldii Gray. — Moore 1874";0;0;"horsfieldii";"D:/distribution_digitizer/data/input/pages\0107.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0107map_1_0.tif"
"Colias alpherakii Staudinger, 1882";0;0;"alpherakii";"D:/distribution_digitizer/data/input/pages\0120.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0120map_1_0.tif"
"Rapala extensa Evans, 1926";0;0;"extensa";"D:/distribution_digitizer/data/input/pages\0138.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0138map_1_0.tif"
"Rapala nissa (Kollar, 1844)";0;0;"nissa";"D:/distribution_digitizer/data/input/pages\0139.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0139map_1_1.tif"
"Rapala manea schistacea (Moore, 1879)";0;0;"schistacea";"D:/distribution_digitizer/data/input/pages\0140.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0140map_1_0.tif"
"Nesa sena (Kollar, 1844)";0;0;"sena";"D:/distribution_digitizer/data/input/pages\0147.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0147map_1_2.tif"
"Prosotas dubiosa indica (Evans, 1926)";0;0;"indica";"D:/distribution_digitizer/data/input/pages\0156.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0156map_1_0.tif"
"Jamides celeno (Cramer, [1775])";0;0;"celeno";"D:/distribution_digitizer/data/input/pages\0156.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0156map_2_1.tif"
"Celastrina huegelii (Moore, 1882)";0;0;"huegelii";"D:/distribution_digitizer/data/input/pages\0169.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0169map_1_0.tif"
"Celastrina huegelii (Moore, 1882)";0;0;"huegeli";"D:/distribution_digitizer/data/input/pages\0170.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0170map_1_0.tif"
"Oreolyce vardhana (Moore, [1875])";0;0;"vardhana";"D:/distribution_digitizer/data/input/pages\0170.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0170map_2_1.tif"
"Acytolepis puspa gisca (Fruhstorfer, 1910)";0;0;"gisca";"D:/distribution_digitizer/data/input/pages\0171.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0171map_1_0.tif"
"Everes lacturnus (Godart, [1824])";0;0;"lacturnus";"D:/distribution_digitizer/data/input/pages\0173.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0173map_1_0.tif"
"Cupido alaina shandura (Evans, 1912)";0;0;"shandura";"D:/distribution_digitizer/data/input/pages\0173.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0173map_1_2.tif"
"Turanana laspura (Evans, 1932)";0;0;"laspura";"D:/distribution_digitizer/data/input/pages\0174.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0174map_1_0.tif"
"Polyommatus lehanus armatheus (Fruhstorfer, 1916)";0;0;"armatheus";"D:/distribution_digitizer/data/input/pages\0188.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0188map_1_0.tif"
"Polyommatus lehanus armatheus (Fruhstorfer, 1916)";0;0;"lehanus";"D:/distribution_digitizer/data/input/pages\0188.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0188map_1_0.tif"
"Polyommatus omphisa (Moore, [1875])";0;0;"omphisa";"D:/distribution_digitizer/data/input/pages\0189.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0189map_1_0.tif"
"Polyommatus chrysopis (Grum-Grshimailo, 1888)";0;0;"chrysopis";"D:/distribution_digitizer/data/input/pages\0189.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0189map_1_1.tif"
"Polyommatus devanica tshikolovetsi Balint, 1999";0;0;"devanica";"D:/distribution_digitizer/data/input/pages\0194.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0194map_1_0.tif"
"Polyommatus devanica chaghbiniensis (Charmeux & Desse, 2006)";0;0;"chaghbiniensis";"D:/distribution_digitizer/data/input/pages\0194.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0194map_1_0.tif"
"Polyommatus devanica tshikolovetsi Balint, 1999";0;0;"tshikolovetsi";"D:/distribution_digitizer/data/input/pages\0194.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0194map_1_0.tif"
"4 Polyommatus pulchella (Bernardi, 1951). — D.S.Smith, Gulam Naseer, Balint &";0;0;"pulchella";"D:/distribution_digitizer/data/input/pages\0203.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0203map_1_0.tif"
"Polycaena tamerlana pamira Tshikolovets, 1997";0;0;"pamira";"D:/distribution_digitizer/data/input/pages\0203.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0203map_1_1.tif"
"Dodona eugenes Bates, 1868";0;0;"eugenes";"D:/distribution_digitizer/data/input/pages\0204.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0204map_1_0.tif"
"Dodona dipoea nostia Fruhstorfer, 1912";0;0;"nostia";"D:/distribution_digitizer/data/input/pages\0204.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0204map_1_1.tif"
"Libythea celtis (Laicharting, 1782)";0;0;"celtis";"D:/distribution_digitizer/data/input/pages\0205.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0205map_1_0.tif"
"Libythea myrrha sanguinalis Fruhstorfer, 1898";0;0;"sanguinalis";"D:/distribution_digitizer/data/input/pages\0206.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0206map_1_0.tif"
"Acraea issoria (Hiibner, 1819)";0;0;"issoria";"D:/distribution_digitizer/data/input/pages\0210.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0210map_1_0.tif"
"Callerebia annada caeca Watkins, 1925";0;0;"caeca";"D:/distribution_digitizer/data/input/pages\0211.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0211map_1_0.tif"
"Faralasa shallada ssp. tarbena (Evans, 1932). — Della Bruno, Gallo, Lucarelli,";0;0;"tarbena";"D:/distribution_digitizer/data/input/pages\0213.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0213map_1_0.tif"
"Paralasa kalinda kamriana Tytler 1926 SSS Erebia mani kamriana sub-sp. nov. — TyTLer H. C. 1926 SSS Erebia mani kamriana sub-sp. nov. — Tytler 1926a SSS Erebia kalinda kamriana Tytler. — Talbot 1947";0;0;"kamriana";"D:/distribution_digitizer/data/input/pages\0213.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0213map_1_1.tif"
"Paralasa kalinda sakaii";0;0;"sakaii";"D:/distribution_digitizer/data/input/pages\0213.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0213map_1_1.tif"
"Paralasa chitralica (Evans, 1923)";0;0;"chitralica";"D:/distribution_digitizer/data/input/pages\0216.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0216map_1_0.tif"
"Ypthima sakra Moore, [1858]";0;0;"sakra";"D:/distribution_digitizer/data/input/pages\0218.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0218map_1_0.tif"
"Ypthima huebneri kasmira Moore, 1884";0;0;"kasmira";"D:/distribution_digitizer/data/input/pages\0221.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0221map_1_0.tif"
"Kirinia cashmirensis (Moore, 1874) stat. rev.";0;0;"cashmirensi";"D:/distribution_digitizer/data/input/pages\0221.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0221map_1_1.tif"
"Lasiommata ananda was discovered the 8 VII 1997 by J.-C. Charmeux ores";0;0;"ananda";"D:/distribution_digitizer/data/input/pages\0222.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0222map_1_0.tif"
"Lastommata maerula Felder, 1867";0;0;"maerula";"D:/distribution_digitizer/data/input/pages\0223.tif";"D:/test//output_2024-08-12_15-21-09/maps/matching/0-2_0223map_1_0.tif"
