Name,Detection method,Longitude,Latitude,georef
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.37148984675741,34.492725224167316,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,71.40857869142596,34.374950554847416,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.77715815219258,34.35204992470189,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.35840377238856,34.227732218197566,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,74.11303406099374,34.10014299310102,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.24062910306864,34.060884769994395,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.20791391714647,34.03907464604626,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.87748472235397,34.00854047251889,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,72.82623674805424,33.95619617504338,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.64068909091718,33.95432673584783,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.14341826489986,33.849638140896815,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,71.03562557191299,33.759905059510245,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.63321133413496,33.75990505951024,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,71.2253736502617,33.73373291077248,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.01816583879777,33.68138861329699,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.19482784277758,33.681388613296974,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.8295024496681,33.681388613296974,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.01816583879776,33.53744179523933,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.73789992908596,33.511269646501574,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,73.70736575555856,33.49382154734308,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,66.98548555474574,30.26592320302024,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,66.8066425383711,30.239751054282486,1
georeferenced64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica_filtered_points.shp,circle_detection,65.62889584517222,25.799209818443764,1
georeferenced59-2_0064map_1_0__danna_filtered_points.shp,circle_detection,74.02579356520124,36.09576933435467,1
georeferenced59-2_0064map_1_0__danna_filtered_points.shp,circle_detection,67.20794881901665,35.16338653557223,1
georeferenced59-2_0064map_1_0__danna_filtered_points.shp,circle_detection,74.11303406099374,34.10014299310102,1
georeferenced59-2_0064map_1_0__danna_filtered_points.shp,circle_detection,73.58647535424612,34.04966813482107,1
georeferenced59-2_0064map_1_0__danna_filtered_points.shp,circle_detection,73.22754302869977,33.82533543135462,1
georeferenced59-2_0064map_1_0__danna_filtered_points.shp,circle_detection,73.25371517743751,33.79916328261687,1
georeferenced59-2_0064map_1_0__danna_filtered_points.shp,circle_detection,68.32462716516073,33.55052786960821,1
georeferenced59-2_0064map_1_1__augias_filtered_points.shp,circle_detection,74.11739608578337,35.395664355619786,1
georeferenced59-2_0064map_1_1__augias_filtered_points.shp,circle_detection,74.11303406099374,34.10014299310102,1
georeferenced59-2_0064map_1_1__augias_filtered_points.shp,circle_detection,72.70410005394474,33.8384215057235,1
georeferenced59-2_0064map_2_0__danna_filtered_points.shp,circle_detection,73.24062910306866,33.82533543135462,1
