"File";"ID";"Local_X";"Local_Y";"Real_X";"Real_Y";"Red";"Green";"Blue";"species";"Title";"Gattungsname"
"0-2_0116map_1_0.tif";2;1065;520;73,8229594124837;30,9398560330174;0;0;255;"kausala";"Ixias pyrene kausala (Moore, 1877)";"Ixias"
"0-2_0116map_1_0.tif";3;1094;460;74,2024555691811;31,72502049515;0;0;255;"kausala";"Ixias pyrene kausala (Moore, 1877)";"Ixias"
"0-2_0116map_1_0.tif";4;946;378;72,2657165625874;32,7980785933978;0;0;255;"kausala";"Ixias pyrene kausala (Moore, 1877)";"Ixias"
"0-2_0116map_1_0.tif";5;798;366;70,3289775559937;32,9551114858243;0;0;255;"kausala";"Ixias pyrene kausala (Moore, 1877)";"Ixias"
"0-2_0116map_1_0.tif";6;988;347;72,8153316860802;33,203746898833;0;0;255;"kausala";"Ixias pyrene kausala (Moore, 1877)";"Ixias"
"0-2_0116map_1_0.tif";7;987;297;72,8022456117113;33,8580506172768;0;0;255;"kausala";"Ixias pyrene kausala (Moore, 1877)";"Ixias"
"0-2_0116map_1_0.tif";8;1017;252;73,1948278427776;34,4469239638762;0;0;255;"kausala";"Ixias pyrene kausala (Moore, 1877)";"Ixias"
"0-2_0116map_1_0.tif";9;927;224;72,0170811495787;34,8133340462048;0;0;255;"kausala";"Ixias pyrene kausala (Moore, 1877)";"Ixias"
"0-2_0116map_1_0.tif";10;926;186;72,0039950752098;35,3106048722221;0;0;255;"kausala";"Ixias pyrene kausala (Moore, 1877)";"Ixias"
"0-2_0116map_1_0.tif";11;927;120;72,0170811495787;36,1742857805679;0;0;255;"kausala";"Ixias pyrene kausala (Moore, 1877)";"Ixias"
"0-2_0116map_1_0.tif";12;963;110;72,4881798268583;36,3051465242567;0;0;255;"kausala";"Ixias pyrene kausala (Moore, 1877)";"Ixias"
"0-2_0116map_1_1.tif";0;539;960;66,9396842944547;25,1819833107118;0;0;255;"marianne";"Ixias marianne (Cramer, [1779])";"Ixias"
"0-2_0116map_1_1.tif";1;1094;469;74,2024555691811;31,6072458258301;0;0;255;"marianne";"Ixias marianne (Cramer, [1779])";"Ixias"
"0-2_0116map_1_1.tif";2;1106;409;74,3594884616076;32,3924102879626;0;0;255;"marianne";"Ixias marianne (Cramer, [1779])";"Ixias"
"0-2_0131map_1_0.tif";0;540;973;66,9527703688236;25,0118643439164;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";1;641;941;68,2744638800801;25,4306187237204;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";2;481;858;66,1806919810598;26,5167628963371;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";3;684;723;68,8371650779417;28,2833829361355;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";4;901;635;71,6768432159879;29,4349574805966;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
"0-2_0131map_1_0.tif";5;586;587;67,5547297897919;30,0630890503027;0;0;255;"hecabe";"Eurema hecabe (Linnaeus, 1758)";"Eurema"
