"species";"legend_key";"legend_index";"search_specie";"file_name";"map_name"
" Cyaniris kollari. SSS Lycaenopsis argiolus kollari SSS Murree.  Lycaenopsis kollari coelestina Koll.. — Leslie & Evans in Peile 1937 SSS Balakot.  Celastrina kollari Westwood 1852";0;0;"kollari";"D:/distribution_digitizer/data/input/pages\0169.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0169map_1_0.tif"
"Celastrina huegelii (Moore, 1882)";0;0;"huegelii";"D:/distribution_digitizer/data/input/pages\0169.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0169map_1_0.tif"
"Everes argiades (Pallas, 1771)";0;0;"argiades";"D:/distribution_digitizer/data/input/pages\0171.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0171map_1_1.tif"
"Plebejus christophi bracteata (Butler, 1880)";0;0;"bracteata";"D:/distribution_digitizer/data/input/pages\0177.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0177map_1_0.tif"
"Plebejus christophi samudra (Moore, [1875])";0;0;"samudra";"D:/distribution_digitizer/data/input/pages\0177.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0177map_1_0.tif"
"Plebejus sieversii felicia (Evans, 1932)";0;0;"felicia";"D:/distribution_digitizer/data/input/pages\0180.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0180map_1_0.tif"
"Plebejus sieversit goranus (Ishikolovets, 1997)";0;0;"goranus";"D:/distribution_digitizer/data/input/pages\0180.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0180map_1_0.tif"
"Polyommatus icarus fugitiva (Butler, 1881)";0;0;"fugitiva";"D:/distribution_digitizer/data/input/pages\0195.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0195map_1_0.tif"
"Polyommatus icarus chitralensis Swinhoe, 1910";0;0;"chitralensis";"D:/distribution_digitizer/data/input/pages\0195.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0195map_1_0.tif"
"Polyommatus icarus bienerti Balint, [1993]";0;0;"bienerti";"D:/distribution_digitizer/data/input/pages\0195.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0195map_1_0.tif"
"Libythea lepita Moore, 1857";0;0;"lepita";"D:/distribution_digitizer/data/input/pages\0205.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0205map_1_0.tif"
"Danaus chrysippus (Linnaeus, 1758)";0;0;"chrysippus";"D:/distribution_digitizer/data/input/pages\0207.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0207map_1_0.tif"
"Acraea violae (Fabricius, 1775)";0;0;"violae";"D:/distribution_digitizer/data/input/pages\0210.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0210map_1_0.tif"
"Acraea issoria (Hiibner, 1819)";0;0;"issoria";"D:/distribution_digitizer/data/input/pages\0210.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0210map_1_0.tif"
"Lyela macmahoni (Swinhoe, 1908)";0;0;"macmahoni";"D:/distribution_digitizer/data/input/pages\0217.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0217map_1_0.tif"
"Ypthima nareda (Kollar, 1844)";0;0;"nareda";"D:/distribution_digitizer/data/input/pages\0217.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0217map_1_1.tif"
"Ypthima bolanica Marshall, 1883";0;0;"bolanica";"D:/distribution_digitizer/data/input/pages\0219.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0219map_1_0.tif"
"Ypthima inica Hewitson, [1865]";0;0;"inica";"D:/distribution_digitizer/data/input/pages\0219.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0219map_1_1.tif"
"Pararge schakra aiyuna, subsp. nov. — Tarzot, G. 1947. Butterflies";0;0;"schakra";"D:/distribution_digitizer/data/input/pages\0225.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0225map_1_0.tif"
"Hyponephele cyri latistigma (Moore, 1892)";0;0;"latistigma";"D:/distribution_digitizer/data/input/pages\0237.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0237map_1_0.tif"
"Hipparchia parisatis shiva (Le Cerf, 1914)";0;0;"shiva";"D:/distribution_digitizer/data/input/pages\0249.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0249map_1_0.tif"
"Pseudochazara baldiva baltistana (Holik, 1949)";0;0;"baltistana";"D:/distribution_digitizer/data/input/pages\0251.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0251map_1_0.tif"
"Pseudochazara baldiva balucha (Evans, 1932)";0;0;"balucha";"D:/distribution_digitizer/data/input/pages\0251.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0251map_1_0.tif"
"S[eason] Florm] pallida SSS Evans and pallida Evans. — Evans 1932b SSS Pseudochazara lehana pallida Evans. — Sakai 1981";0;0;"pallida";"D:/distribution_digitizer/data/input/pages\0251.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0251map_1_0.tif"
"Satyrus pimpla magna (Evans, 1923)";0;0;"pimpla";"D:/distribution_digitizer/data/input/pages\0256.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0256map_1_0.tif"
"Satyrus pimpla ziara (Talbot, 1947)";0;0;"ziara";"D:/distribution_digitizer/data/input/pages\0256.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0256map_1_0.tif"
"Euthalia aconthea garuda (Moore, [1858])";0;0;"garuda";"D:/distribution_digitizer/data/input/pages\0268.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0268map_1_0.tif"
"Hypolimnas misippus (Linnaeus, 1764) A";0;0;"misippus";"D:/distribution_digitizer/data/input/pages\0270.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0270map_1_0.tif"
"Hypolimnas bolina (Linnaeus, 1758)";0;0;"bolina";"D:/distribution_digitizer/data/input/pages\0270.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0270map_1_1.tif"
"Polygonia egea undina (Groum-Grshimailo, 1890)";0;0;"undina";"D:/distribution_digitizer/data/input/pages\0272.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0272map_1_0.tif"
"Nymphalis xanthomelas fervescens (Stichel, 1908)";0;0;"fervescens";"D:/distribution_digitizer/data/input/pages\0273.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0273map_1_0.tif"
"Melitaea robertsi Butler, 1880";0;0;"robertsi";"D:/distribution_digitizer/data/input/pages\0286.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0286map_1_0.tif"
"Argyreus hyperbius (Linnaeus, 1763)";0;0;"hyperbius";"D:/distribution_digitizer/data/input/pages\0291.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0291map_1_0.tif"
"Issoria lathonia isaea (Elwes, 1889)";0;0;"isaea";"D:/distribution_digitizer/data/input/pages\0295.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0295map_1_0.tif"
"Issoria lathonia (Linnaeus, 1758)";0;0;"lathonia";"D:/distribution_digitizer/data/input/pages\0295.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0295map_1_0.tif"
"Gonepteryx nepalensis gilgitica Tytler, 1926";0;0;"gilgitica";"D:/distribution_digitizer/data/input/pages\0126.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/1-2_0126map_1_0.tif"
"Catopsilia florella (Fabricius, 1775)";0;0;"florella";"D:/distribution_digitizer/data/input/pages\0130.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/1-2_0130map_1_0.tif"
"Tomares callimachus huertasae";0;0;"huertasae";"D:/distribution_digitizer/data/input/pages\0146.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/1-2_0146map_1_0.tif"
"Tarucus balkanicus (Freyer, [1844])";0;0;"balkanicus";"D:/distribution_digitizer/data/input/pages\0157.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/1-2_0157map_1_0.tif"
"Parantica sita (Kollar, 1844)";0;0;"sita";"D:/distribution_digitizer/data/input/pages\0209.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/1-2_0209map_1_0.tif"
"Junonia orithya (Linnaeus, 1758)";0;0;"orithya";"D:/distribution_digitizer/data/input/pages\0279.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/13-2_0279map_1_0.tif"
"Hyponephele tenuistigma laspura (Evans, 1932)";0;0;"laspura";"D:/distribution_digitizer/data/input/pages\0235.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/14-2_0235map_1_0.tif"
"Hyponephele tenuistigma laspura (Evans, 1932)";0;0;"tenuistigma";"D:/distribution_digitizer/data/input/pages\0235.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/14-2_0235map_1_0.tif"
"Colotis liagore (Klug, 1829)";0;0;"liagore";"D:/distribution_digitizer/data/input/pages\0112.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/15-2_0112map_1_1.tif"
"Plebejus eversmanni lighti";0;0;"lighti";"D:/distribution_digitizer/data/input/pages\0179.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/15-2_0179map_1_0.tif"
"ey Plebejus eversmanni kwaja (Evans, 1932)";0;0;"kwaja";"D:/distribution_digitizer/data/input/pages\0179.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/15-2_0179map_1_0.tif"
"Plebejus eversmanni baroghila (Tytler, 1926)";0;0;"baroghila";"D:/distribution_digitizer/data/input/pages\0179.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/15-2_0179map_1_0.tif"
"Eurema laeta (Boisduval, 1836)";0;0;"laeta";"D:/distribution_digitizer/data/input/pages\0133.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/2-2_0133map_1_0.tif"
"Lycaena balucha Howarth & Povolny, 1976";0;0;"balucha";"D:/distribution_digitizer/data/input/pages\0152.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/2-2_0152map_1_0.tif"
"Leptotes plinius (Fabricius, 1793)";0;0;"plinius";"D:/distribution_digitizer/data/input/pages\0155.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/2-2_0155map_1_0.tif"
"Error in function find";0;0;"ardates";"D:/distribution_digitizer/data/input/pages\0155.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/2-2_0155map_1_1.tif"
"Polyommatus pseuderos Moore, 1879";0;0;"pseuderos";"D:/distribution_digitizer/data/input/pages\0197.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/2-2_0197map_1_0.tif"
"Polyommatus pseuderos gaeli";0;0;"gaeli";"D:/distribution_digitizer/data/input/pages\0197.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/2-2_0197map_1_0.tif"
"Aglais rizana (Moore, 1872)";0;0;"rizana";"D:/distribution_digitizer/data/input/pages\0278.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/2-2_0278map_1_0.tif"
"Junonia iphita (Cramer, [1779])";0;0;"iphita";"D:/distribution_digitizer/data/input/pages\0278.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/2-2_0278map_1_1.tif"
"Phalanta phalantha (Drury, 1770)";0;0;"phalantha";"D:/distribution_digitizer/data/input/pages\0290.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/20-2_0290map_1_0.tif"
"Tarucus callinara (Butler, 1886)";0;0;"callinara";"D:/distribution_digitizer/data/input/pages\0160.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/23-2_0160map_1_0.tif"
"Oh Aulocera padma grandis Tytler, 1926";0;0;"padma";"D:/distribution_digitizer/data/input/pages\0241.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/28-2_0241map_1_0.tif"
"Oh Aulocera padma grandis Tytler, 1926";0;0;"grandis";"D:/distribution_digitizer/data/input/pages\0241.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/28-2_0241map_1_0.tif"
"Aulocera padma burnetti (Evans, 1932)";0;0;"burnetti";"D:/distribution_digitizer/data/input/pages\0241.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/28-2_0241map_1_0.tif"
"Mycalesis perseus tabitha (Fabricius, 1793).";0;0;"tabitha";"D:/distribution_digitizer/data/input/pages\0227.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/29-2_0227map_1_0.tif"
"Melanitis leda (Linnaeus, 1758)";0;0;"leda";"D:/distribution_digitizer/data/input/pages\0227.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/29-2_0227map_1_1.tif"
"Aeromachus stigmatus (Moore 1878)";0;0;"stigmatus";"D:/distribution_digitizer/data/input/pages\0062.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/3-2_0062map_1_0.tif"
"Suastus gremius (Fabricius, 1798)";0;0;"gremius";"D:/distribution_digitizer/data/input/pages\0062.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/3-2_0062map_1_1.tif"
"Actinor radians (Moore, 1878)";0;0;"radians";"D:/distribution_digitizer/data/input/pages\0062.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/3-2_0062map_1_2.tif"
"Polyommatus bilucha (Moore, 1884)";0;0;"bilucha";"D:/distribution_digitizer/data/input/pages\0198.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/3-2_0198map_1_0.tif"
"Parnassius elegans (Bryk, 1932)";0;0;"elegans";"D:/distribution_digitizer/data/input/pages\0084.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/31-2_0084map_1_0.tif"
"Badamia exclamationis (Fabricius, 1775)";0;0;"exclamationis";"D:/distribution_digitizer/data/input/pages\0039.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/34-2_0039map_1_0.tif"
"Hasora chromus (Cramer, [1780])";0;0;"chromus";"D:/distribution_digitizer/data/input/pages\0039.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/34-2_0039map_1_1.tif"
