"ID","File","Detection.method","X_WGS84","Y_WGS84","template","Red","Green","Blue","georef","species","Title"
1,"0-2_0041map_1_0.tif","point_matching",478,650,"a_1",255,0,0,0,"elma","NA; Gomalia elma (Trimen, 1862)"
2,"0-2_0041map_1_0.tif","point_matching",451,627,"a_1",255,0,0,0,"elma","NA; Gomalia elma (Trimen, 1862)"
3,"0-2_0041map_1_0.tif","point_matching",899,335,"a_1",255,0,0,0,"elma","NA; Gomalia elma (Trimen, 1862)"
4,"0-2_0041map_1_0.tif","point_matching",924,294,"a_1",255,0,0,0,"elma","NA; Gomalia elma (Trimen, 1862)"
5,"0-2_0105map_1_0.tif","point_matching",458,616,"a_1",255,0,0,0,"belucha","NA; Aporia belucha leechii (Moore, 1904); Aporia belucha leechii (Moore, 1904)"
6,"0-2_0105map_1_0.tif","point_matching",812,216,"a_1",255,0,0,0,"belucha","NA; Aporia belucha leechii (Moore, 1904); Aporia belucha leechii (Moore, 1904)"
7,"0-2_0105map_1_0.tif","point_matching",820,193,"a_1",255,0,0,0,"belucha","NA; Aporia belucha leechii (Moore, 1904); Aporia belucha leechii (Moore, 1904)"
8,"0-2_0105map_1_0.tif","point_matching",978,191,"a_1",255,0,0,0,"belucha","NA; Aporia belucha leechii (Moore, 1904); Aporia belucha leechii (Moore, 1904)"
9,"0-2_0105map_1_0.tif","point_matching",883,173,"a_1",255,0,0,0,"belucha","NA; Aporia belucha leechii (Moore, 1904); Aporia belucha leechii (Moore, 1904)"
10,"0-2_0105map_1_0.tif","point_matching",844,166,"a_1",255,0,0,0,"belucha","NA; Aporia belucha leechii (Moore, 1904); Aporia belucha leechii (Moore, 1904)"
11,"0-2_0105map_1_0.tif","point_matching",1082,161,"a_1",255,0,0,0,"belucha","NA; Aporia belucha leechii (Moore, 1904); Aporia belucha leechii (Moore, 1904)"
12,"0-2_0105map_1_0.tif","point_matching",1020,155,"a_1",255,0,0,0,"belucha","NA; Aporia belucha leechii (Moore, 1904); Aporia belucha leechii (Moore, 1904)"
13,"0-2_0105map_1_0.tif","point_matching",1051,131,"a_1",255,0,0,0,"belucha","NA; Aporia belucha leechii (Moore, 1904); Aporia belucha leechii (Moore, 1904)"
14,"0-2_0105map_1_0.tif","point_matching",870,119,"a_1",255,0,0,0,"belucha","NA; Aporia belucha leechii (Moore, 1904); Aporia belucha leechii (Moore, 1904)"
15,"0-2_0105map_1_0.tif","point_matching",982,58,"a_1",255,0,0,0,"belucha","NA; Aporia belucha leechii (Moore, 1904); Aporia belucha leechii (Moore, 1904)"
16,"0-2_0107map_1_0.tif","point_matching",977,506,"a_1",255,0,0,0,"eucharis","NA; Delias eucharis (Drury, 1773)"
17,"0-2_0107map_1_0.tif","point_matching",993,419,"a_1",255,0,0,0,"eucharis","NA; Delias eucharis (Drury, 1773)"
18,"0-2_0107map_1_0.tif","point_matching",940,342,"a_1",255,0,0,0,"eucharis","NA; Delias eucharis (Drury, 1773)"
19,"0-2_0111map_1_0.tif","point_matching",449,1058,"a_1",255,0,0,0,"etrida","NA; Colotis etrida (Boisduval, 1836)"
20,"0-2_0111map_1_0.tif","point_matching",556,1017,"a_1",255,0,0,0,"etrida","NA; Colotis etrida (Boisduval, 1836)"
21,"0-2_0111map_1_0.tif","point_matching",785,695,"a_1",255,0,0,0,"etrida","NA; Colotis etrida (Boisduval, 1836)"
22,"0-2_0111map_1_0.tif","point_matching",449,632,"a_1",255,0,0,0,"etrida","NA; Colotis etrida (Boisduval, 1836)"
23,"0-2_0111map_1_0.tif","point_matching",517,629,"a_1",255,0,0,0,"etrida","NA; Colotis etrida (Boisduval, 1836)"
24,"0-2_0111map_1_0.tif","point_matching",493,628,"a_1",255,0,0,0,"etrida","NA; Colotis etrida (Boisduval, 1836)"
25,"0-2_0111map_1_0.tif","point_matching",773,617,"a_1",255,0,0,0,"etrida","NA; Colotis etrida (Boisduval, 1836)"
26,"0-2_0111map_1_0.tif","point_matching",461,608,"a_1",255,0,0,0,"etrida","NA; Colotis etrida (Boisduval, 1836)"
27,"0-2_0111map_1_0.tif","point_matching",980,504,"a_1",255,0,0,0,"etrida","NA; Colotis etrida (Boisduval, 1836)"
